Location,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total
United States,0.63,0.12,0.17,0.01,0.05,<.01,0.02,1
Alabama,0.67,0.26,0.04,<.01,0.01,N/A,0.02,1
Alaska,0.63,0.03,0.06,0.14,0.05,0.01,0.08,1
Arizona,0.57,0.04,0.3,0.04,0.03,<.01,0.02,1
Arkansas,0.74,0.15,0.07,0.01,0.01,N/A,0.02,1
California,0.39,0.06,0.39,<.01,0.14,<.01,0.03,1
Colorado,0.69,0.04,0.21,0.01,0.03,<.01,0.03,1
Connecticut,0.7,0.1,0.15,<.01,0.04,N/A,0.02,1
Delaware,0.64,0.21,0.09,<.01,0.04,N/A,0.02,1
District of Columbia,0.35,0.49,0.1,N/A,0.03,N/A,0.03,1
Florida,0.56,0.15,0.24,<.01,0.03,<.01,0.02,1
Georgia,0.55,0.3,0.09,<.01,0.04,<.01,0.02,1
Hawaii,0.22,0.02,0.1,N/A,0.38,0.09,0.2,1
Idaho,0.83,<.01,0.12,0.01,0.02,N/A,0.02,1
Illinois,0.63,0.14,0.17,<.01,0.05,<.01,0.02,1
Indiana,0.81,0.09,0.06,<.01,0.02,N/A,0.02,1
Iowa,0.88,0.03,0.05,<.01,0.02,N/A,0.02,1
Kansas,0.77,0.06,0.11,0.01,0.02,N/A,0.03,1
Kentucky,0.86,0.08,0.03,<.01,0.01,N/A,0.02,1
Louisiana,0.6,0.32,0.05,0.01,0.02,N/A,0.01,1
Maine,0.94,0.01,0.01,0.01,0.01,N/A,0.02,1
Maryland,0.53,0.29,0.09,<.01,0.06,N/A,0.03,1
Massachusetts,0.75,0.06,0.11,<.01,0.06,N/A,0.03,1
Michigan,0.76,0.14,0.05,<.01,0.03,N/A,0.02,1
Minnesota,0.82,0.05,0.05,0.01,0.04,N/A,0.02,1
Mississippi,0.58,0.38,0.03,<.01,0.01,N/A,0.01,1
Missouri,0.81,0.11,0.04,<.01,0.02,N/A,0.02,1
Montana,0.87,N/A,0.03,0.06,0.01,N/A,0.02,1
Nebraska,0.81,0.05,0.1,0.01,0.02,N/A,0.02,1
Nevada,0.52,0.08,0.28,0.01,0.08,0.01,0.03,1
New Hampshire,0.92,0.01,0.03,<.01,0.02,N/A,0.02,1
New Jersey,0.57,0.12,0.19,<.01,0.09,N/A,0.02,1
New Mexico,0.39,0.02,0.47,0.09,0.01,N/A,0.02,1
New York,0.57,0.14,0.18,<.01,0.08,<.01,0.02,1
North Carolina,0.64,0.21,0.09,0.01,0.02,N/A,0.02,1
North Dakota,0.87,0.02,0.02,0.06,0.01,N/A,0.02,1
Ohio,0.81,0.12,0.03,<.01,0.02,<.01,0.02,1
Oklahoma,0.68,0.07,0.1,0.08,0.02,N/A,0.06,1
Oregon,0.78,0.02,0.12,0.01,0.04,<.01,0.03,1
Pennsylvania,0.79,0.1,0.06,<.01,0.03,N/A,0.02,1
Rhode Island,0.75,0.05,0.14,<.01,0.03,N/A,0.03,1
South Carolina,0.64,0.27,0.05,<.01,0.01,N/A,0.02,1
South Dakota,0.84,0.02,0.03,0.08,0.01,N/A,0.02,1
Tennessee,0.75,0.17,0.05,<.01,0.01,<.01,0.02,1
Texas,0.44,0.11,0.39,<.01,0.04,<.01,0.02,1
Utah,0.8,0.01,0.13,0.01,0.02,0.01,0.02,1
Vermont,0.94,0.01,0.01,<.01,0.01,N/A,0.02,1
Virginia,0.64,0.19,0.09,<.01,0.06,<.01,0.03,1
Washington,0.71,0.03,0.12,0.01,0.08,0.01,0.04,1
West Virginia,0.93,0.03,0.01,N/A,0.01,N/A,0.02,1
Wisconsin,0.83,0.06,0.06,0.01,0.02,N/A,0.02,1
Wyoming,0.85,0.01,0.09,0.02,0.01,N/A,0.02,1
Puerto Rico,0.01,<.01,0.99,N/A,N/A,N/A,<.01,1
